MES,ANYO,IDSEC,ORDEN_VIAJE,ORDEN_REP,CCAADEST,PROVDEST,PAISDEST,DESTESP,MOTIV,TIPOVIAJ,NPERNOC,NPERNOC_CORR,VIAJA_SOLO,VIAJA_PAREJA,VIAJA_HIJOS,VIAJA_OTROSFAMILIARES,VIAJA_AMIGOS,VIAJA_COMPTRABAJO,ALOJAPRIN,NESTR_PPAL,TRANSPRIN,LOW_COST,AVE,PAQUETE,PAQ_TRANSP,PAQ_ALOJA,PAQ_COMBEB,PAQ_ACT,BLOQUE_ETAPAS,IMPU_PARCIAL,PAGO_ALOJA,PAGO_TRANS,PAGO_MANUT,GASTO_PAQ,GASTOFI_PAQ,GASTO_ALOJA,GASTOFI_ALOJA,GASTO_TRANS,GASTOFI_TRANS,GASTO_BAREST,GASTOFI_BAREST,GASTO_ACT,GASTOFI_ACT,GASTO_BIENDUR,GASTOFI_BIENDUR,GASTO_RESTO,GASTOFI_RESTO,GASTOFI_TOTAL,ACTI_GOLF,ACTI_DEPOR,ACTI_NAVEGA,ACTI_OTROSNAUTICOS,ACTI_CAZA,ACTI_SENDER,ACTI_AVENTURA,ACTI_CABALLO,ACTI_OTROSDEPORTES,ACTI_ESPECDEPOR,ACTI_VISITASCULTU,ACTI_ESPECULTU,ACTI_OTRASCULTU,ACTI_CIUDADES,ACTI_RURALES,ACTI_TEMATICOS,ACTI_RELAX,ACTI_JUEGOS,ACTI_GASTRO,ACTI_DIVER,ACTI_RELIGION,ACTI_CONGRESOS,ACTI_AREASNATU,ACTI_PLAYA,ACTI_FAMILIA,ACTI_COMPRAS,GRADO_SATISF,FIDELIDAD_DEST,MIEMV,MIEMV_15MAS,MIEMV_15MENOS,SEXO,EDAD,CCAA_RESIDENCIA,TAMAMU,URBA,PAISNAC,NACION,PAISNACIO,ECIVIL,CONV,NIVELEST,RELAECON,MH,INGR_HOG,CORR15_VT,FACTORVI_15MAS,FACTORVI_TOT,FACTORGAS_TOT
02,2015,03371,01,01,01,11,108,1,02,10,1,1,0,0,0,0,1,0,11,,05,,,6,,,,,6,6,,,,6,0,6,0,1,"20,36",1,"31,58",6,0,6,0,6,0,"51,94",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,08,1,1,1,0,1,031,01,1,1,1,1,1,1,3,4,2,3,3,1,"6374,926711","6374,926711","6374,926711"
02,2015,03380,01,04,10,12,108,1,17,06,1,1,,,,,,,03,,05,,,,,,,,6,6,2,2,2,,0,1,"136,32",1,"52,87",1,"83,88",6,0,6,0,6,0,"273,07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,045,10,4,2,2,1,1,1,3,4,1,1,2,1,"1592,169201","1592,169201","1592,169201"
02,2015,03381,01,01,00,00,001,6,08,10,3,3,0,1,0,0,0,0,11,,01,1,,6,,,,,6,1,,,,6,0,6,0,1,"146,89",1,"79,31",1,"105,77",6,0,6,0,"331,97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,057,02,5,3,1,1,1,2,1,4,1,3,6,1,"581,364163","581,364163","581,364163"
02,2015,03388,01,02,09,25,108,1,08,02,1,1,0,0,1,0,0,0,11,,05,,,6,,,,,6,6,,,,6,0,6,0,1,"12,43",6,0,6,0,6,0,6,0,"12,43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,1,1,0,2,070,09,5,3,1,1,1,3,3,1,3,1,1,1,"779,110852","779,110852","779,110852"
02,2015,03392,01,02,01,21,108,1,02,02,2,2,0,1,1,0,0,0,11,,05,,,6,,,,,6,1,,,,6,0,6,0,1,"8,35",1,"32,33",6,0,6,0,1,"13,73","54,41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,1,041,01,1,1,1,1,1,2,1,4,2,4,2,"2,440765","1386,702334","3384,614521","2385,658427"
02,2015,03396,01,02,10,03,108,1,07,02,2,2,0,1,0,0,0,0,10,,05,,,6,,,,,6,1,,,,6,0,6,0,1,"24,17",1,"44,95",1,"19,09",6,0,6,0,"88,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,064,02,3,2,1,1,1,2,1,4,3,3,5,1,"393,354855","393,354855","393,354855"
02,2015,03398,01,01,16,01,108,1,17,06,5,5,,,,,,,11,,05,,,,,,,,6,6,2,1,1,,0,6,0,1,"53,13",6,0,6,0,6,0,6,0,"53,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,047,07,3,2,1,1,1,1,3,4,1,1,3,1,"997,459392","997,459392","997,459392"
02,2015,03405,01,01,08,45,108,1,07,10,3,3,0,1,0,0,0,0,11,,05,,,6,,,,,6,6,,,,6,0,6,0,1,"53,3",1,"141,31",6,0,6,0,6,0,"194,61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,08,1,1,1,0,1,028,02,4,3,1,1,1,1,3,3,4,4,6,1,"1088,386576","1088,386576","1088,386576"
02,2015,03409,01,01,10,46,108,1,08,10,4,4,0,1,1,0,0,0,11,,05,,,6,,,,,6,6,,,,6,0,6,0,1,"93,62",1,"43,44",6,0,6,0,1,"41,56","178,62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,3,3,0,1,053,12,2,1,1,1,1,2,1,4,1,4,5,1,"5058,443883","5058,443883","5058,443883"
02,2015,03422,01,01,01,18,108,1,07,02,2,2,0,1,1,0,0,0,01,3,05,,,6,,,,,6,6,,,,6,0,1,"65,31",1,"36,2",1,"62,8",1,"7,41",6,0,1,"37,05","208,77",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,08,1,4,2,2,1,047,14,5,3,1,1,1,1,2,4,1,4,2,"2,21556","1585,87061","3513,591489","2549,73105"
