EDAD,GASTOFI_TOTAL,test
3230,48,177,61
3234,37,43,39
3244,21,269,41
3245,44,222,42
3249,24,1332,26
3260,37,77
3266,25,618,72
3274,27,87,18
3279,45,307,23
3283,25,66,37
3287,67,1763,94
3297,46,633,83
3298,40,113,28
3299,25,36,99
3301,55,465,58
3302,73,48,93
3312,53,262,23
3316,35,75,98
3333,64,403,37
3339,38,733,71
3371,31,51,94
3380,45,273,07
3381,57,331,97
3388,70,12,43
3392,41,54,41
3396,64,88,21
3398,47,53,13
3405,28,194,61
3409,53,178,62
3422,47,208,77
3426,40,68,38
3427,52,54,81
3429,61,891,41
3431,47,190,29
3452,45,289,09
3455,59,123,15
3456,34,194,63
3459,59,221,45
3462,64,369
3465,33,81,29
3471,45,180,79
3474,48,145,76
3480,50,148,7
3481,55,197,95
3485,55,24,74
3492,62,216,81
3500,47,45,02
3501,53,164,52
3502,47,169,25
3503,36,585,29
3507,51,30,65
3508,37,308,73
3509,36,193,06
3516,43,129,33
3531,24,206,05
3533,44,105,52
3535,42,119,18
3539,53,51,61
3547,34,48,32
3551,69,304,74
3557,50,117,04
3558,30,139,15
3561,23,193,26
3562,43,25,93
3575,62,227,33
3594,15,41,76
3601,21,143,42
3605,37,127,18
3608,30,105,37
3611,31,660,49
3624,15,156,41
3626,35,208,15
3636,39,70,11
3638,57,36,07
3641,39,70,25
3655,56,89,02
3662,47,108,27
3664,35,132,69
3680,30,108,16
3684,39,62,06
3685,21,57,85
3691,26,226,82
3696,62,167,47
3701,29,146,98
3705,41,124,17
3710,54,274,68
3732,31,211,16
3736,39,72,37
3746,45,49,58
3756,48,53,27
3757,56,107,9
3761,39,522,6
3768,47,253,52
3773,36,145,21
3789,35,51,79
3793,31,94,82
3811,61,102,94
3825,58,61,46
3826,51,554,64
3830,23,148,14
3836,31,278,03
3846,39,186,1
3848,30,52,99
3851,37,593,89
3860,42,25,25
3863,16,20,84
3870,64,57,7
3874,41,59,82
3883,57,122,51
3892,46,40,05
3897,63,1198,28
3901,46,32,47
3902,53,79,21
3905,26,365,64
3920,67,27,75
3925,45,42,82
3927,52,220,06
3930,40,222,04
3937,50,67,48
3940,65,117,15
3941,63,45,47
3944,62,732,57
3970,41,165,44
3972,50,83,29
3973,75,205,69
3979,62,442,06
3983,29,82,21
3985,35,251,82
3988,38,191,54
3989,39,298,7
3999,41,110,35
4003,30,219,66
4006,25,61,35
4010,25,81,69
4024,37,251,56
4025,35,120,94
4031,31,52,23
4054,24,571,05
4067,43,303,22
4070,43,245,19
4073,61,25,32
4074,29,656,24
4077,32,75,84
4080,37,16,81
4086,36,50,53
4093,39,174,33
4099,62,80,7
4103,54,529,14
4107,57,29,31
4111,54,109,2
4113,42,83,95
4115,55,296,79
4120,53,138,56
4121,76,30,2
4131,18,188,38
4135,33,221,17
4145,44,617,97
4152,85,305,56
4154,41,363,87
4156,37,381,81
4162,51,49,48
4163,44,36,28
4165,59,255,42
4166,27,157,41
4176,53,1188,64
4185,66,351,19
4186,36,430,24
4189,44,61,53
4202,54,96,14
4203,59,288,77
4211,44,21,67
4227,40,57,81
4231,39,1778,26
4246,46,132,39
4251,28,59,77
4258,35,61,71
4271,66,35,01
4273,53,32,55
4279,50,325,05
4280,34,181,93
4286,52,66,73
4304,15,41,83
4317,56,526,64
4318,49,195,21
4320,27,133,94
4327,36,146,81
4332,38,135,82
4333,29,43,46
4342,28,199,62
4345,35,134,87
4351,35,55,36
4353,28,135,81
4357,48,41,44
4360,42,102,31
4361,23,164,74
4365,59,248,13
4369,67,184,09
4370,35,80,93
4374,37,266,99
4376,56,106,55
4379,30,211,72
4380,78,51,68
4385,36,222,86
4391,35,167,66
4401,63,206,43
4405,72,25,66
4409,61,220,51
4411,66,52,28
4412,37,176,27
4415,39,37,99
4418,47,50,99
4420,65,220,89
4427,38,87,39
4439,32,205,75
4449,54,342,95
4450,53,118,73
4451,39,127,93
4462,38,146,76
4464,38,79,14
4469,26,28
4473,40,130,45
4480,45,337,29
4483,70,464,99
4486,20,281,3
4490,50,247,45
4491,57,38,26
4492,47,492,18
4493,30,298,13
4495,49,137,07
4497,18,58,43
4509,46,94,38
4512,48,478,92
4515,74,49,57
4518,55,75,15
4523,46,116,04
4525,21,641,45
4535,52,530,68
4537,61,31,65
4544,31,127,55
4546,56,153,32
4561,49,18,02
4564,52,269,25
4573,38,328,82
4574,32,1068,06
4581,43,52,65
4584,38,28,06
4589,69,42,16
4596,35,203,46
4599,40,52,22
4603,59,133,99
4606,62,30,59
4623,37,60,6
4627,25,51,09
4631,31,56,03
4634,22,309,27
4637,47,167,59
4650,24,63,29
4657,50,216,05
4671,34,105,91
4677,36,22,51
4683,15,47,4
4685,20,64,32
4694,53,204,73
4713,27,387,89
4730,50,45,05
4743,74,59,6
4756,45,56,16
4763,38,200,64
4767,46,859,87
4769,46,235,28
4770,63,51,69
4777,35,264,08
4779,58,339,08
4781,54,566,51
4782,31,68,12
4789,67,196,25
4790,41,41,01
4792,21,132,05
4799,43,294,6
4808,24,100,13
4809,42,179,04
4813,50,169,54
4815,49,51,54
4817,44,56,39
4823,41,138,99
4827,31,207
4833,47,77,88
4834,45,143,83
4836,49,40,18
4839,43,76,43
4849,68,128,71
4850,50,29,15
4853,37,50
4862,40,235,6
4870,38,84,08
4871,35,54,67
4872,50,59,99
